Namesake,NamingCategory_1,NamingCategory_2,NamingSource
Turkey,Animal,Bird,https://en.wikipedia.org/wiki/Turkey_(bird)
Vireo,Animal,Bird,https://en.wikipedia.org/wiki/Vireo
Vulture,Animal,Bird,https://en.wikipedia.org/wiki/Vulture
Warbler,Animal,Bird,https://en.wikipedia.org/wiki/Warbler
Wedge-tailed Eagle,Animal,Bird,https://en.wikipedia.org/wiki/Wedge-tailed_eagle
Whippoorwill,Animal,Bird,https://en.wikipedia.org/wiki/Eastern_whip-poor-will
Widgeon,Animal,Bird,https://en.wikipedia.org/wiki/Wigeon
Willet,Animal,Bird,https://en.wikipedia.org/wiki/Willet
Woodcock,Animal,Bird,https://en.wikipedia.org/wiki/Woodcock
Shark,Animal,Cartilaginous Fish,https://en.wikipedia.org/wiki/Shark
Acavus,Animal,Gastropod,https://en.wikipedia.org/wiki/Acavus
Adula,Animal,Gastropod,
Alexia,Animal,Gastropod,https://en.wikipedia.org/wiki/Alexania_(gastropod)
Amastra,Animal,Gastropod,https://en.wikipedia.org/wiki/Amastra
Ancylus,Animal,Gastropod,https://en.wikipedia.org/wiki/Ancylus
Gadila,Animal,Gastropod,https://en.wikipedia.org/wiki/Gadila_(mollusc)
Macoma,Animal,Gastropod,https://en.wikipedia.org/wiki/Macoma
Miralda,Animal,Gastropod,https://en.wikipedia.org/wiki/Miralda
Rapana,Animal,Gastropod,https://en.wikipedia.org/wiki/Rapana
Hornet,Animal,Insect,https://en.wikipedia.org/wiki/Hornet
Wasp,Animal,Insect,https://en.wikipedia.org/wiki/Wasp
American Bison,Animal,Mammal,https://en.wikipedia.org/wiki/American_bison
Beagle,Animal,Mammal,https://en.wikipedia.org/wiki/Beagle
Bloodhound,Animal,Mammal,https://en.wiktionary.org/wiki/bloodhound
Elephant,Animal,Mammal,https://en.wikipedia.org/wiki/Elephant
Fox,Animal,Mammal,https://en.wikipedia.org/wiki/Fox
Gazelle,Animal,Mammal,https://en.wikipedia.org/wiki/Gazelle
Lion,Animal,Mammal,https://en.wikipedia.org/wiki/Lion-class_battleship
Tiger,Animal,Mammal,https://en.wikipedia.org/wiki/Tiger
Whale,Animal,Mammal,https://en.wikipedia.org/wiki/Whale
Barracouta,Animal,Ray-Finned Fish,https://en.wikipedia.org/wiki/Thyrsites_lepidopodea
Caiman,Animal,Reptile,https://en.wikipedia.org/wiki/Caiman
Comet,Astronomical,Body,https://en.wikipedia.org/wiki/Comet
Meteor,Astronomical,Body,https://en.wikipedia.org/wiki/Meteor
Sunrise,Astronomical,Conjunction,https://en.wikipedia.org/wiki/Sunrise
Twilight,Astronomical,Conjunction,https://en.wikipedia.org/wiki/Twilight
"Sirius, Canis Major",Astronomical,Star,https://en.wikipedia.org/wiki/Sirius
Descriptor,Categorical,Descriptor,
Royal Great Ship,Categorical,Descriptor,
Hull Number,Categorical,Hull Number,https://en.wikipedia.org/wiki/Hull_number
Placeholder,Categorical,Placeholder,
Squence,Categorical,Squence,
"Alazan Bay, Texas, US",Geographical,Bay,https://en.wikipedia.org/wiki/Alazan_Bay
"Alikula Bay, Alaska, US",Geographical,Bay,
"Anguilla Bay, Alaska, US",Geographical,Bay,https://en.wikipedia.org/wiki/Maurelle_Island
"Astrolabe Bay, Alaska, US",Geographical,Bay,https://www.history.navy.mil/research/histories/ship-histories/danfs/a/astrolabe-bay.html
"Baffin Bay, Texas, US",Geographical,Bay,https://en.wikipedia.org/wiki/Baffin_Bay_(Texas)
"Barataria Bay, Louisiana, US",Geographical,Bay,https://en.wikipedia.org/wiki/Barataria_Bay
"Barnegat Bay, New Jersey, US",Geographical,Bay,https://en.wikipedia.org/wiki/Barnegat_Bay
"Bastian Bay, Louisiana, US",Geographical,Bay,
"Biscayne Bay, Florida, US",Geographical,Bay,https://en.wikipedia.org/wiki/Biscayne_Bay
"Bolinas Lagoon, California, US",Geographical,Bay,https://en.wikipedia.org/wiki/Bolinas_Lagoon
