FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
bb_north_carolina|1943_6,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1943_6,40-t-mk2_x14,40-he-mk1,AA Battery,3
bb_north_carolina|1943_6,20-p-mk6_x46,20-he-mk3,AA Battery,4
bb_north_carolina|1943_11,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1943_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1943_11,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_north_carolina|1943_11,20-p-mk6_x46,20-he-mk3,AA Battery,4
bb_north_carolina|1944,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1944,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1944,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_north_carolina|1944,20-p-mk6_x48,20-he-mk3,AA Battery,4
bb_north_carolina|1945,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1945,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1945,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_north_carolina|1945,20-p-mk24_x8,20-he-mk3,AA Battery,4
bb_north_carolina|1945,20-p-mk6_x40,20-he-mk3,AA Battery,4
bb_north_carolina|1946,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina|1946,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_north_carolina|1946,40-t-mk2_x13,40-he-mk1,AA Battery,3
bb_north_carolina|1946,20-p-mk24_x16,20-he-mk3,AA Battery,4
bb_south_dakota,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota,28-p-quad_x3,28-het-mk1,AA Battery,3
bb_south_dakota,12-p-mk3_x12,12-b-us,AA Battery,4
bb_south_dakota|south_dakota,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|south_dakota,127-ag-mk28_x8,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|south_dakota,28-p-quad_x7,28-het-mk1,AA Battery,3
bb_south_dakota|south_dakota,20-p-mk6_x16,20-he-mk3,AA Battery,4
bb_south_dakota|south_dakota,12-p-mk3_x8,12-b-us,AA Battery,5
bb_south_dakota|south_dakota_1942,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|south_dakota_1942,127-ag-mk28_x8,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|south_dakota_1942,28-p-quad_x7,28-het-mk1,AA Battery,4
bb_south_dakota|south_dakota_1942,20-p-mk6_x32,20-he-mk3,AA Battery,5
bb_south_dakota|south_dakota_1942_8,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_south_dakota|south_dakota_1942_8,127-ag-mk28_x8,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_south_dakota|south_dakota_1942_8,40-t-mk2_x4-sd,40-he-mk1,AA Battery,3
bb_south_dakota|south_dakota_1942_8,28-p-quad_x5,28-het-mk1,AA Battery,4
bb_south_dakota|south_dakota_1942_8,20-p-mk6_x32,20-he-mk3,AA Battery,5
bb_south_dakota|south_dakota_1943,406-ag-3_abx,406-ap-mk8,Primary Gun,1
