AmmoID,AmmoName,AmmoNation,AmmoCaliber,SurfaceShellWeight,SurfaceShellCharge,SurfaceShellChargeType,AAShellWeight,AAShellCharge,AAShellChargeType,AmmoSource
7-b-79-mauser,7.9mm Mauser,germany,7.9,0.01,0,None,0.01,0,None,https://en.wikipedia.org/wiki/MG_08
381-apc-ita,381mm APC,italy,381,885,10.16,TNT,0,0,,http://www.navweaps.com/Weapons/WNIT_15-50_m1934.php
381-ap-ita,381mm AP,italy,381,884,,,0,0,,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
320-ap-ita,320mm AP,italy,320,525,,,0,0,,http://www.navweaps.com/Weapons/WNIT_126-44_m1934.php#Ammunition
305-apc-ita,305mm APC,italy,305,452,,,0,0,,http://www.navweaps.com/Weapons/WNIT_12-46_m1909.php
305-apc-ita-early,305mm APC (Early),italy,305,417,,,0,0,,http://www.navweaps.com/Weapons/WNIT_12-40.php
305-apc-ita-early-light,305mm APC (Early),italy,305,390,,,0,0,,http://www.navweaps.com/Weapons/WNIT_12-40.php
203-ap-ita,203mm AP,italy,203,116,,,0,0,,http://www.navweaps.com/Weapons/WNIT_8-45_EOC.php
152-ap-ita,152mm AP,italy,152,50,1,,0,0,,http://www.navweaps.com/Weapons/WNIT_6-55_m1936.php
152-ap-ita,152mm AP,italy,152,50,,,0,0,,https://en.wikipedia.org/wiki/Francesco_Caracciolo-class_battleship
152-ap-ita-early,152mm AP (Early),italy,152,47,,,0,0,,https://en.wikipedia.org/wiki/Cannone_da_152/45
135-apc_135-he-ita,135mm APC + 135mm HE,italy,135,32.7,,,32.7,,,http://www.navweaps.com/Weapons/WNIT_53-45_m1938.php#Ammunition
120-he-ita-late,120mm HE,italy,120,23.2,,,0,0,,http://www.navweaps.com/Weapons/WNIT_47-50_m1926.php#Ammunition
120-he-ita,120mm HE,italy,120,22.1,,,0,0,,https://en.wikipedia.org/wiki/Conte_di_Cavour-class_battleship#cite_note-c12-15
102-he-ita,102mm HE,italy,102,13.7,,,13.7,,,http://www.navweaps.com/Weapons/WNIT_4-45_m1917.php
100-he-ita,100mm HE,italy,100,13.8,,,13.8,,,http://www.navweaps.com/Weapons/WNIT_39-47_m1924.php#Ammunition
90-he-aa-ita,90mm HE AA,italy,90,10.1,,,10.1,,,http://www.navweaps.com/Weapons/WNIT_35-50_m1939.php
76-he-ita,76mm HE,italy,76,6,,,6,,,http://www.navweaps.com/Weapons/WNIT_3-50_m1909.php
76-ap-ita,76mm AP,italy,76,6,,,0,0,,http://www.navweaps.com/Weapons/WNIT_3-50_m1909.php
40-he-ita,40mm HE,italy,40,0.9,0.1,,0.9,0.1,,http://www.navweaps.com/Weapons/WNBR_2pounder_m2.php
37-he-ita,37mm HE,italy,37,0.82,0.02,TNT,0.82,0.02,TNT,http://www.navweaps.com/Weapons/WNIT_37mm-54_m1932.php
37-he-ita-early,37mm HE (Early),italy,37,0.51,0.01,Black Powder,0.51,,,http://navypedia.org/arms/italy/arms_it_guns.htm
20-he-ita,20mm HE,italy,20,0.13,,,0.13,,,http://www.navweaps.com/Weapons/WNIT_20mm-65.php
13-b-ita,13.2mm Ball,italy,13.2,0.05,0,None,0.05,0,None,http://www.navweaps.com/Weapons/WNIT_132-757_m1931.php#Ammunition
460-apc-type1,46cm APC Type 1,japan,460,1460,33.85,,0,0,,http://www.navweaps.com/Weapons/WNJAP_18-45_t94.php
410-apc-type3,41cm APC Type 3,japan,410,1000,14.9,,0,0,,http://www.navweaps.com/Weapons/WNJAP_161-45_3ns.php
356-apc-type3,36cm APC Type 3,japan,356,635,11,,0,0,,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
305-apc-jpn,"12"" APC (JPN)",japan,305,386,19,,0,0,,http://www.navweaps.com/Weapons/WNJAP_12-45_EA.php
305-ap-jpn,"12"" AP (JPN)",japan,305,386,19.3,Shimose,0,0,,http://www.navweaps.com/Weapons/WNJAP_12-40_EOC.php
254-ap-jpn,"10"" AP (JPN)",japan,254,235,,,0,0,,http://www.navweaps.com/Weapons/WNJAP_10-45_Vickers.php
203-ap-jpn,"8"" AP (JPN)",japan,203,113,,,0,0,,http://www.navweaps.com/Weapons/WNJAP_8-45_EOC.php
155-ap-type91,15.5cm AP Type 91,japan,155,55.9,1.15,,0,0,,http://www.navweaps.com/Weapons/WNJAP_61-60_3ns.php
152-he-com-type0,15cm Common Type 0 HE,japan,152,45.4,2.9,,0,0,,http://www.navweaps.com/Weapons/WNJAP_6-50_t41.php
152-com-mod1,"6"" Common Mod 1",japan,152,45.4,5.2,,0,0,,http://www.navweaps.com/Weapons/WNJAP_6-40_EOC.php
152-ap-jpn,"6"" AP (JPN)",japan,152,45.4,,,0,0,,http://www.navweaps.com/Weapons/WNJAP_6-45_EOC.php
140-cap-com,140 Capped Common,japan,140,38,2,,0,0,,http://www.navweaps.com/Weapons/WNJAP_55-50_3ns.php
127-he-type0,12.7cm Common Type 0 HE,japan,127,23.5,1.88,Shimose,23.5,1.88,Shimose,http://www.navweaps.com/Weapons/WNJAP_5-40_t89.php
120-com-jpn,"4"" Common (JPN)",japan,120,20.4,3.1,,0,0,,http://www.navweaps.com/Weapons/WNBR_47-40_mk8.php
120-he-com-type0,12cm Common Type 0 HE,japan,120,20.3,1.7,,20.3,1.7,,http://www.navweaps.com/Weapons/WNJAP_47-45_10ns.php
76-he-com-type0,8cm Common Type 0 HE,japan,76,6,0.45,,6,0.45,,http://www.navweaps.com/Weapons/WNJAP_3-40_3ns.php
76-he-jpn,8cm HE (JPN),japan,76,5.7,,,5.7,,,http://www.navweaps.com/Weapons/WNBR_3-40_mk1.php
47-com-2.5,2.5-lbr (JPN),japan,47,1.1,,,0,0,,https://en.wikipedia.org/wiki/QF_3-pounder_Hotchkiss#Japanese_service
40-com-jpn,40mm Common (JPN),japan,40,0.9,0.07,,0.9,0.07,,http://www.navweaps.com/Weapons/WNJAP_40mm-62_HI.php
25-com-jpn,25mm Common,japan,25,0.3,0.01,,0.3,0.01,,http://www.navweaps.com/Weapons/WNJAP_25mm-60_mg.php
13-ap-jpn,13.2mm AP,japan,13,0.05,0,None,0.05,0,None,http://www.navweaps.com/Weapons/WNJAP_13mm-76_mg.php
6-b-jpn,6.5mm (JPN),japan,6,0.01,0,None,0.01,0,None,http://www.navweaps.com/Weapons/WNJAP_65mm-115_Kiho.php
406-ap-m1915/28,406mm AP Model 1915/28,russia,406,1108,25.7,,0,0,,http://www.navweaps.com/Weapons/WNRussian_16-50_m1937.php
356-ap-m1911,356mm AP mod 1911,russia,356,719,27.9,,0,0,,http://www.navweaps.com/Weapons/WNRussian_14-52_mk6.php
305-apc-m1911,305mm APC mod 1911,russia,305,471,13,,0,0,,http://www.navweaps.com/Weapons/WNRussian_12-52_m1907.php
305-ap-rus,305mm AP,russia,305,471,,,0,0,,http://www.navweaps.com/Weapons/WNRussian_12-55_B-50.php
305-ap-hv-rus,305mm AP (HV),russia,305,467,,,0,0,,http://www.navweaps.com/Weapons/WNRussian_12-62_m1948.php
305-ap-old-model-rus,305mm AP old model,russia,305,332,5.3,,0,0,,http://www.navweaps.com/Weapons/WNRussian_12-40_m1895.php
254-ap-rus,254mm AP,russia,254,225,,,0,0,,http://www.navweaps.com/Weapons/WNRussian_10-45_m1891.php
203-he-m1907,203mm HE mod 1907,russia,203,112,14.1,,0,0,,http://www.navweaps.com/Weapons/WNRussian_8-50_m1905.php
152-ap-rus,152mm AP,russia,152,55,1.1,,0,0,,http://www.navweaps.com/Weapons/WNRussian_6-57_m1938.php
152-ap-b35,152mm AP B-35,russia,152,55,1.1,,0,0,,http://www.navweaps.com/Weapons/WNRussian_6-57_m1938.php
152-ap-old-model-rus,152mm AP old model,russia,152,41.4,1.23,,0,0,,http://www.navweaps.com/Weapons/WNRussian_6-45_m1892.php
130-he-m1911,130mm HE mod 1911,russia,130,36.9,4.71,,36.9,4.71,,http://www.navweaps.com/Weapons/WNRussian_51-55_m1913.php
130-sap-pb42_130-aa-zs42,130mm SAP PB-42 + 130mm AA ZS42,russia,130,33.4,1.4,,32.7,2.5,,http://www.navweaps.com/Weapons/WNRussian_51-58_m1957.php
120-sap-m1911,120mm SAP mod 1911,russia,120,29,3.73,,0,0,,http://www.navweaps.com/Weapons/WNRussian_47-50_m1905.php
120-he-m1907,120mm HE mod 1907,russia,120,20.5,2.56,,0,0,,http://www.navweaps.com/Weapons/WNRussian_47-45_m1892.php
100-he-f56_100-aa,100mm HE F-56 + 100mm AA,russia,100,15.8,1.25,,15.6,1.21,,http://www.navweaps.com/Weapons/WNRussian_39-56_m1940.php
76-sh-sh361p,76.2mm Sh-361P,russia,76.2,6.6,0.07,,6.6,0.07,,http://www.navweaps.com/Weapons/WNRussian_3-55_m1935.php#Ammunition
76-sh-sh354p,76.2mm Sh-354P,russia,76.2,6.5,,,6.5,,,http://www.navweaps.com/Weapons/WNRussian_3-30_Lender.php#Ammunition
75-he-m1907,75mm HE mod 1907,russia,75,4.91,0.52,,5.73,,,http://www.navweaps.com/Weapons/WNRussian_29-50_m1891.php#Ammunition
63-he-rus,"2.5"" HE",russia,63,3.73,0.8,,3.73,0.8,,http://www.navweaps.com/Weapons/WNRussian_25-38_m1916.php
57-he-rus,57mm HE,russia,57,2.22,,,2.22,,,http://www.navweaps.com/Weapons/WNRussian_57mm_Hotchkiss.php#Ammunition
47-he-rus,47mm HE,russia,47,1.5,0.02,,1.5,0.02,,http://www.navweaps.com/Weapons/WNRussian_47mm_Hotchkiss.php
45-he-o-240,45mm HE 0-240,russia,45,2.14,0.12,,2.14,0.12,,http://www.navweaps.com/Weapons/WNRussian_45mm-68_21KM.php#Ammunition
45-he-f-73,45mm HE (F-73),russia,45,1.4,0.07,,1.4,0.07,,http://www.navweaps.com/Weapons/WNRussian_45mm-68_21KM.php#Ammunition
40-he-rus,40mm HE,russia,40,0.9,0.1,,0.9,0.1,,http://www.navweaps.com/Weapons/WNBR_2pounder_m2.php#Ammunition
37-he-frag-rus,37mm HE-FRAG,russia,37,0.73,0.04,,0.73,0.04,,http://www.navweaps.com/Weapons/WNRussian_37mm-67_70-K.php
